"Countries","AT","CCAMLR","Colonization.Status","InNATO","IndepEstYr","Age","Continent","GDP","GDPperCap","Edu_Per","Mil_Per","Mil_Total","NatResRents","Edu_Total"
"Afghanistan","Neither","Neither","Colonized","No",1919,106,"Asia",15824739254.5026,385.509523751723,NA,1.59339539180315,278913871.47006,0.367251810644828,NA
"Albania","Neither","Neither","Colonized","Yes",1912,113,"Europe",19017247013.8821,7756.96188744253,3.04854500293732,1.29583570269739,228693159.623738,1.10898554226817,579749333.537948
"Algeria","Neither","Neither","Colonized","Partner",1962,63,"Africa",225581644702.568,4960.30334332888,5.61015717726636,5.88614822110901,9708277440.22726,18.3123237207713,12655484830.8766
"Andorra","Neither","Neither","Colonized","No",1993,32,"Europe",3380611694.73392,42425.7066454357,2.50702610078383,NA,NA,0,84752817.55313
"Angola","Neither","Neither","Colonized","No",1975,50,"Africa",100998916781.079,2665.87444776753,2.44904780866209,1.40725542077164,993594404.625879,25.1075501140549,2473511758.19946
"Antigua and Barbuda","Neither","Neither","Colonized","No",1981,44,"North America",1866566666.66667,20105.1989085164,2.75707848903753,NA,NA,0,51462708.0502115
"Argentina","CP","Member","Neither","No",1816,209,"South America",633993756301.08,13962.1894087223,4.89793515205383,0.684586409291956,4177618452.20522,2.04135660756737,31052603051.6971
"Armenia","Neither","Neither","Colonized","Partner",1991,34,"Asia",19513506553.1251,6571.97445545099,2.59872996807098,4.98254372367497,795201580.049707,4.7381026671642,507103342.617556
"Aruba","Neither","Neither","Colonized","No",1996,29,"South America",3324034443.26581,30975.9989121779,3.61855755636695,NA,NA,0.0025516607969536,120282099.523035
"Australia","CP","Member","Colonizer","Partner",1901,124,"Oceania",1695627535475.8,64603.9856308464,5.34109020233154,1.8837883329175,32445330432.014,9.72551696941733,90564996165.3337
"Austria","NonCP","Neither","Colonized","Partner",1955,70,"Europe",480466363176.806,53648.6437976214,5.48071002960205,0.873515488270759,4196428571.42857,0.0943531369319455,26332968155.4954
"Azerbaijan","Neither","Neither","Colonized","Partner",1991,34,"Asia",72428470588.2353,7133.02838048328,3.68122005462646,4.93051740712765,2991035294.11765,21.470564675594,2666251384.55335
"Bahamas, The","Neither","Neither","Colonized","No",1973,52,"North America",13896800000,34957.1613279737,2.89541112728221,NA,NA,0.016978315625579,402369493.536153
"Bahrain","Neither","Neither","Colonized","Partner",1971,54,"Asia",46192260638.2979,29290.1284215098,1.86947054014456,3.51979682208909,1437500000,13.6720875665083,863550704.459768
"Bangladesh","Neither","Neither","Neither","No",1971,54,"Asia",437415333018.291,2551.01773827307,2.13974351741877,0.990983394484057,4214350329.15342,0.585468438505075,9359566232.4546
"Barbados","Neither","Neither","Colonized","No",1966,59,"North America",6884900000,24387.0387293761,3.86529994010925,NA,NA,0.233374572783446,266122035.576582
"Belarus","NonCP","Neither","Colonized","No",1991,34,"Europe",72478760370.4258,7896.75388295584,4.86263990402222,1.64869313490861,1105174741.30497,1.69197035938706,3524381123.71297
"Belgium","CP","Member","Colonizer","Yes",1830,195,"Europe",598522422241.851,51658.238294958,6.38081979751587,1.16246551287247,6890161299.82246,0.036689533563271,38190637210.9796
"Belize","Neither","Neither","Colonized","No",1973,52,"North America",2846604350,7068.21728043145,4.62276317232973,0.992933768484191,27805037.5,0.500975271576396,131591777.553736
"Benin","Neither","Neither","Colonized","No",1960,65,"Africa",17687623530.3355,1318.65158075198,3.09709532436715,0.632087491743063,110010370.317322,2.36620256038614,547802561.349685
"Bhutan","Neither","Neither","Colonized","No",1907,118,"Asia",2833515351.9339,3640.97012981232,6.22178304943213,NA,NA,2.76264340499156,176295177.86968
"Bolivia","Neither","Neither","Neither","No",1825,200,"South America",50959081953.6903,4219.46113742445,7.89381980895996,1.32579943750687,536247233.213096,6.09403699668142,4022618105.72455
"Bosnia and Herzegovina","Neither","Neither","Neither","Partner",1992,33,"Europe",24534663636.1778,7655.59421024383,3.13259457484451,0.752028730749218,197332515.798312,0.797323778951834,768571542.023255
"Botswana","Neither","Neither","Colonized","No",1966,59,"Africa",19402063512.9066,7807.88794570471,8.05833660991541,2.83392800595041,512727689.054822,0.856788416308345,1563483587.13959
"Brazil","CP","Member","Neither","No",1822,203,"South America",1951923832083.87,9281.33282136864,5.61920976638794,1.05240083845945,20542063567.3716,5.58549427988314,109682694604.911
"Brunei Darussalam","Neither","Neither","Colonized","No",1984,41,"Asia",15095084656.1634,32890.5491812019,NA,3.23636748209722,448911490.729443,19.0162342588727,NA
"Bulgaria","CP","Acceding","Colonized","Yes",1908,117,"Europe",90506153293.6733,13999.1949530956,4.50109004974365,1.58707500372134,1436901369.51973,0.768340151742101,4073763460.30726
"Burkina Faso","Neither","Neither","Colonized","No",1960,65,"Africa",19697516284.3787,873.482589651003,5.27185050008134,2.98161566942536,562583349.170273,14.6566141574599,1038423610.74162
"Burundi","Neither","Neither","Colonized","No",1962,63,"Africa",3430949249.91221,255.8324539389,5.09636340365553,2.59858091417074,101434221.215165,13.9022930731172,174853641.97052
"Cabo Verde","Neither","Neither","Colonized","No",1975,50,"Africa",2247003344.34242,4323.31362032709,5.44007925548252,0.566494134671967,11279268.103582,14.620261066887,122238762.80557
"Cambodia","Neither","Neither","Colonized","No",1953,72,"Asia",39994532959.6074,2325.03050040841,2.07161987607853,1.5448976529505,630407255.027116,0.887320695750192,828534694.136006
"Cameroon","Neither","Neither","Colonized","No",1961,64,"Africa",45011937346.8384,1672.32657340872,2.84419193195497,0.96440732254506,443336832.005677,4.93400268458752,1280225890.43541
"Canada","NonCP","Acceding","Colonizer","Yes",1867,158,"North America",2173339670064.33,54220.3285039875,4.84426021575928,1.25420081409628,25567943876.0417,3.09543728034054,105282228990.24
"Central African Republic","Neither","Neither","Colonized","No",1960,65,"Africa",2516498412.46384,492.263142830507,1.99380410604687,2.14924843936704,55515012.0969341,10.0727623114896,50174048.6763085
"Chad","Neither","Neither","Colonized","No",1960,65,"Africa",17828508289.6049,949.333453674592,2.67060789697194,2.11758982875058,331746766.049468,17.6380107151635,476129550.294485
"Channel Islands","Neither","Neither","Neither","No",1204,821,"Europe",11232906307.5385,67271.2690636815,NA,NA,NA,NA,NA
"Chile","CP","Member","Colonizer","No",1810,215,"South America",315325547162.072,16206.8325493421,5.00225019454956,1.63026388670906,5194059174.29763,11.1957931238423,15773372796.3792
"China","CP","Member","Colonizer","No",1949,76,"Asia",18270356654533.2,12951.1782397043,3.89714002609253,1.66484889659813,291958428460.21,1.28566981172775,712021382093.673
"Colombia","NonCP","Neither","Neither","Partner",1819,206,"South America",345632492851.448,6680.44506854481,5.26166009902954,3.1957582534691,10180134292.0766,3.93757931499042,18186006965.6458
"Comoros","Neither","Neither","Colonized","No",1975,50,"Africa",1272238390.85864,1554.97289190153,2.35975986681303,NA,NA,1.61382189411043,30021770.9576701
"Congo, Dem. Rep.","Neither","Neither","Colonized","No",1960,65,"Africa",69843655425.2929,649.383338556725,2.66048474102788,0.729735329108429,371081599.85082,27.3777319276392,1858179795.16601
"Congo, Rep.","Neither","Neither","Colonized","No",1960,65,"Africa",15321055822.5167,2482.2489948456,3.32643372765492,1.97625641072141,284994429.664049,31.9653402581393,509644768.313034
"Cook Islands","Neither","Acceding","Colonized","No",1965,60,"Oceania",253977931814.967,49099.7090423358,5.3770899772644,1.19404695449297,2905571074.96464,1.38329038795723,13656621916.086
"Costa Rica","NonCP","Neither","Neither","No",1821,204,"North America",69243626028.5936,13625.9008491328,5.89782977104187,NA,0,0.834077806985012,4083871190.46329
"Cote d'Ivoire","Neither","Neither","Colonized","No",1960,65,"Africa",72794636653.7793,2455.98127641148,3.47484993934631,0.865226904910508,637656912.817499,3.66333032145327,2529504387.61122
"Croatia","Neither","Neither","Colonized","Yes",1991,34,"Europe",71196498671.1145,18465.5414420364,4.2501049041748,1.79323424509814,1360346003.46448,0.56014641495889,3025925881.62179
"Cuba","NonCP","Neither","Colonized","No",1902,123,"North America",1.07352e+11,9605.27914559614,9.3858620562531,NA,NA,0.565351678337536,10075910634.6288
"Curacao","Neither","Neither","Colonized","No",2010,15,"South America",3075180834.72417,20057.1404747175,6.08167033605813,NA,NA,0,187022360.605565
"Cyprus","Neither","Neither","Colonized","No",1960,65,"Europe",31218038929.0919,33231.04296875,5.08247995376587,1.72118847605333,541804635.761589,0.010347825569719,1586650570.52992
"Czechia","CP","Neither","Colonized","Yes",1918,107,"Europe",301831228325.556,28282.2236715857,4.62503004074097,1.35325325729994,4005428325.66409,0.405785459116916,13959784982.3944
"Denmark","NonCP","Neither","Colonizer","Yes",980,1045,"Europe",404651706117.557,68043.5466971243,6.95915985107422,1.37376885314973,5475015487.99119,0.250498559223693,28160359068.8199
"Djibouti","Neither","Neither","Colonized","No",1977,48,"Africa",3562814908.76149,3133.25779772463,NA,NA,NA,0.299629623141035,NA
"Dominica","Neither","Neither","Colonized","No",1978,47,"North America",623062962.962963,9323.66089490562,5.38572189060925,NA,NA,0.0396785992860137,33556438.3885749
"Dominican Republic","Neither","Neither","Colonized","No",1844,181,"North America",113478087134.8,10104.2449349081,3.68576822911416,0.746231922011371,773360376.516256,1.65821213962532,4182539282.62094
"Ecuador","CP","Member","Neither","No",1809,216,"South America",116133121000,6515.58528418336,3.69074988365173,2.24210709535338,2586480000,4.81187194361285,4286183028.18862
"Egypt","Neither","Neither","Colonized","Partner",1922,103,"Africa",395926075163.006,3511.11381026379,NA,1.01475596559521,4505374644.32501,4.19843167358853,NA
"El Salvador","Neither","Neither","Neither","No",1821,204,"North America",31870120000,5074.60210221806,3.31666994094849,1.33693500391086,425200000,0.649721126032831,1057026690.18421
"Equatorial Guinea","Neither","Neither","Colonized","No",1968,57,"Africa",12337550583.754,6745.40013244916,NA,1.34533764165546,162192394.152675,20.090831466498,NA
"Eritrea","Neither","Neither","Colonized","No",1993,32,"Africa",NA,NA,NA,NA,NA,NA,NA
"Estonia","NonCP","Neither","Colonized","Yes",1917,108,"Europe",38226641740.29,28340.3826549406,5.21514987945557,2.26136428332919,818278963.709643,1.57573462320215,1993576660.63865
"Eswatini","Neither","Neither","Colonized","No",1968,57,"Africa",4746660273.50829,3894.1620089869,5.32546270122803,1.65499533493805,79655264.6081486,3.19039851145398,252781622.419692
"Ethiopia","Neither","Neither","Colonizer","No",1270,755,"Africa",123140304666,982.103161506992,3.73649512188829,0.882490047359025,1409020101.00844,5.68238703807701,4601131476.92347
"Fiji","Neither","Neither","Colonized","No",1970,55,"Oceania",4977861885.60316,5414.12092119088,4.54974209009977,1.36090769946015,71181003.99754,1.8521946966298,226479877.396321
"Finland","CP","Acceding","Both","Yes",1917,108,"Europe",294223210496.119,52834.2916752703,6.58820009231567,1.58854518946055,4446368019.38627,0.368783541645106,19384013825.5194
"France","CP","Member","Colonizer","Yes",843,1182,"Europe",2966433692008.09,43725.0999521245,5.41743993759155,1.98022225807935,58734626300.8515,0.029584251060387,160704763553.018
"French Polynesia","Neither","Neither","Colonized","No",1984,41,"Oceania",5994931236.42282,21426.3854449835,NA,NA,NA,0.00381372015237275,NA
"Gabon","Neither","Neither","Colonized","No",1960,65,"Africa",19444935097.2395,8181.40914134656,2.50836788832908,1.538206793748,277674768.990569,15.9960845273511,487750507.885587
"Gambia, The","Neither","Neither","Colonized","No",1965,60,"Africa",2204734527.88096,836.244875868476,2.88951657174754,0.705923163360025,14805015.9297537,2.94556172775433,63706169.5461603
"Georgia","Neither","Neither","Colonized","Partner",1918,107,"Europe",24984568959.605,6729.84659930283,3.75498008728027,1.65864808405362,401381726.184684,1.15749499164348,938165589.325975
"Germany","CP","Member","Colonizer","Yes",1871,154,"Europe",4355251953410.78,52349.2459994422,5.36734008789062,1.35598993512329,56513126773.8884,0.0769151485057048,233761184024.056
"Ghana","Neither","Neither","Colonized","No",1957,68,"Africa",79514204730.3979,2383.90410483418,3.4005042684722,0.382741906430833,268736705.433852,10.9170320427597,2703883925.8989
"Greece","NonCP","Acceding","Neither","Yes",1830,195,"Europe",218303801895.326,20886.5243087629,3.37547993659973,3.12797536550149,8021963044.4518,0.0631839580009281,7368801033.81115
"Greenland","Neither","Neither","Colonized","No",1953,72,"Europe",3222956619.6766,56885.4973200713,NA,NA,NA,0,NA
"Grenada","Neither","Neither","Colonized","No",1974,51,"North America",1224007407.40741,10469.3867012856,4.09030334217367,NA,NA,0,50065615.8936386
"Guatemala","NonCP","Neither","Colonized","No",1840,185,"North America",95641446500.6523,5358.70156997677,3.10877990722656,0.41898209578954,415185334.034068,1.64089360758847,2973282071.79312
"Guinea","Neither","Neither","Colonized","No",1958,67,"Africa",19910452541.9219,1416.59612011764,2.02398561795885,2.05370337042453,441260169.726193,4.67362342062207,402984695.919022
"Guinea-Bissau","Neither","Neither","Colonized","No",1975,50,"Africa",1908094558.33981,926.780921081233,NA,1.42932816566546,24915535.1563838,10.7900449033712,NA
"Guyana","Neither","Neither","Colonized","No",1966,59,"South America",14718388489.2086,17913.4928066879,NA,0.868162254451279,88198241.2136681,23.7909071287181,NA
"Haiti","Neither","Neither","Neither","No",1804,221,"North America",20253551920.5516,1760.62635668777,1.0702172688272,0.0687408576027912,15834887.0714861,0.452743048297374,216757010.204627
"Honduras","Neither","Neither","Neither","No",1821,204,"North America",31426041806.7985,3003.28996826399,5.21561119482491,1.49821773541885,458310727.89078,1.22890706045844,1639060154.56574
"Hungary","NonCP","Neither","Both","Yes",1849,176,"Europe",183282685440.486,19030.628130329,4.12265014648438,1.83314817173654,3256817190.99744,0.303508925064258,7556103899.7927
"Iceland","NonCP","Neither","Neither","Yes",1944,81,"Europe",29166102877.2755,76350.4550416502,8.2265796661377,NA,0,0.000107880918343624,2399372688.70675
"India","CP","Member","Colonized","No",1947,78,"Asia",3346107287730.93,2347.44829434623,4.29335021972656,2.38309809835882,79976789327.937,2.47200729125373,143660104590.082
"Indonesia","Neither","Neither","Colonized","No",1945,80,"Asia",1319101183380.15,4730.83484836107,1.02407486003092,0.779216788275608,10133923494.1363,3.79785370363403,13508583597.3664
"Iran, Islamic Rep.","Neither","Neither","Colonizer","No",1935,90,"Asia",422662261525.665,4721.20437099984,2.82443290958712,2.17701027609522,7390861136.37782,26.843615946916,11937812010.9361
"Iraq","Neither","Neither","Colonized","Partner",1921,104,"Asia",268881051643.549,5965.31835077761,NA,2.26269486919183,5518874505.2831,35.4314354384301,NA
"Ireland","Neither","Neither","Colonized","Partner",1919,106,"Europe",548341794599.09,105190.685952731,3.0481299161911,0.238637692712824,1267738883.63292,0.0688754587481944,16714170284.154
"Israel","Neither","Neither","Colonizer","Partner",1948,77,"Asia",512184638998.974,52270.9040241956,6.16727018356323,5.27626408809404,24340979541.2275,0.356932713446822,31587810525.7747
"Italy","CP","Member","Colonizer","Yes",1861,164,"Europe",2179207773596.09,36852.5425414951,4.17118978500366,1.65164252620196,36232722327.3415,0.0839898358356151,90898892046.2458
"Jamaica","Neither","Neither","Colonized","No",1962,63,"North America",18813516805.214,6626.47502388538,5.51383018493652,1.2899994472516,230360218.360918,0.390042293928613,1037345368.45399
"Japan","CP","Member","Colonizer","Partner",400,1625,"Asia",4262463317796.53,34065.6438962526,3.32146489620208,1.06384050244526,51396536058.5254,0.0721508319856625,141576222814.102
"Jordan","Neither","Neither","Colonized","Partner",1946,79,"Asia",48764963380.2817,4332.25159897931,3.23356008529663,4.798376906378,2334573239.43662,0.0646700043656452,1576844391.47431
"Kazakhstan","NonCP","Neither","Colonized","Partner",1991,34,"Asia",225496328925.494,11255.3396437881,4.41594888870542,0.517435849596282,1208967905.89819,19.8415062646092,9957802631.25687
"Kenya","Neither","Neither","Colonized","No",1963,62,"Africa",109703658904.994,2061.35622089594,4.51101801829815,1.01020520038813,1155179523.0194,1.24837027329757,4948751819.93662
"Kiribati","Neither","Neither","Colonized","No",1979,46,"Oceania",285259881.131951,2177.70125812262,15.5082034481244,NA,NA,0.0502470257182928,44238682.7218208
"Korea, Dem. People's Rep.","NonCP","Neither","Colonized","No",1945,80,"Asia",NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.","CP","Member","Colonized","Partner",1945,80,"Asia",1844800934391.54,35674.095995632,4.55590009689331,2.59925771052554,47571318596.7228,0.0815417488589745,84047287557.4328
"Kosovo","Neither","Neither","Colonized","No",2008,17,"Europe",9413408574.4949,5290.95006509706,NA,1.15004614573509,107601580.182924,0.667264413163623,NA
"Kuwait","Neither","Neither","Colonized","Partner",1961,64,"Asia",160227273053.334,34018.6342592913,6.43592667889685,4.84093247384389,7792925565.71038,29.2848672951013,10312109813.3084
"Kyrgyz Republic","Neither","Neither","Colonized","Partner",1991,34,"Asia",12134931017.9465,1739.72018344174,6.28005341345434,2.96620373701758,352132809.831012,9.01706055916777,762080149.612878
